CAMK2A NG_047040
CAMK2B NG_029407
CAMK2G NG_029408
CAMKK2 NG_029409
CAMKMT NG_032944
CAND1 NG_051239
CANT1 NG_016645
CAPN1 NG_052817
CAPN10 NG_011558
CAPN3 NG_008660
CAPN5 NG_033002
CAPN6 NG_015962
CAPRIN2 NG_029557
CAPZB NG_029551
CARD11 NG_027759
CARD14 NG_032778
CARD8 NG_029574
CARD9 NG_021197
CARS2 NG_042045
CARTPT NG_015988
CASK NG_016754
CASKIN2 NG_033152
CASP1 NG_029124
CASP10 NG_007265
CASP12 NG_028201
CASP2 NG_029248
CASP6 NG_029187
CASP8 NG_007497
CASP9 NG_029188
CASQ1 NG_042040
CASQ2 NG_008802
CASR NG_009058
CAST NG_029490
CAT NG_013339
CATSPER1 NG_016285
CATSPER2 NG_009283
CATSPERE NG_029082
CAV1 NG_012051
CAV2 NG_029920
CAV3 NG_008797
CAVIN1 NG_015845
CAVIN4 NG_033273
CBFA2T3 NG_029533
CBFB NG_009281
CBL NG_016808
CBR3 NG_052818
CBS NG_008938
CBX2 NG_016986
CBX7 NG_051974
CBY1 NG_047138
CC2D1A NG_013089
CC2D2A NG_013035
CCBE1 NG_016990
CCDC103 NG_032792
CCDC107 NG_033120
CCDC114 NG_033251
CCDC115 NG_046779
CCDC120 NG_016255
CCDC127 NG_033064
CCDC129 NG_051956
CCDC140 NG_021186
CCDC15 NG_052613
CCDC151 NG_041777
CCDC170 NG_021198
CCDC171 NG_052634
CCDC174 NG_046773
CCDC180 NG_052792
CCDC22 NG_021311
CCDC28B NG_012178
CCDC39 NG_029581
CCDC40 NG_029761
CCDC50 NG_008994
CCDC6 NG_027819
CCDC65 NG_033837
CCDC71L NG_051955
CCDC78 NG_032932
CCDC8 NG_031956
CCDC84 NG_050577
CCDC88A NG_031944
CCDC88C NG_033118
CCKAR NG_012053
CCKBR NG_030591
CCL11 NG_012212
CCL2 NG_012123
CCL23 NG_029876
CCL26 NG_015989
CCL3 NG_027730
CCL3L1 NG_023369
CCL3L3 NG_023325
CCL4 NG_033066
CCL5 NG_015990
CCM2 NG_016295
CCNA2 NG_052974
CCNB3 NG_012880
CCND1 NG_007375
CCND2 NG_034254
CCND3 NG_041939
CCNE2 NG_029611
CCNL2 NG_029782
CCNO NG_034201
CCNT2 NG_029189
CCR2 NG_021428
CCR5 NG_012637
CCR9 NG_029472
CCS NG_008733
CCT5 NG_012160
CCT7 NG_047121
CD109 NG_033971
CD14 NG_023178
CD151 NG_007478
CD163 NG_029826
CD164 NG_051926
CD19 NG_007275
CD2 NG_050908
CD207 NG_033914
CD209 NG_012167
CD24 NG_041768
CD244 NG_015991
CD247 NG_007384
CD27 NG_031995
CD276 NG_051242
CD28 NG_029618
CD2AP NG_008878
CD320 NG_028124
CD36 NG_008192
CD37 NG_033941
CD3D NG_009891
CD3E NG_007383
CD3G NG_007566
CD4 NG_027688
CD40 NG_007279
CD40LG NG_007280
CD44 NG_008937
CD46 NG_009296
CD55 NG_007465
CD59 NG_008057
CD63 NG_008347
CD74 NG_029730
CD79A NG_009619
CD79B NG_007368
CD81 NG_023386
CD82 NG_023234
CD83 NG_030372
CD86 NG_029928
CD8A NG_011608
CD96 NG_012156
CD99 NG_009174
CD99L2 NG_021320
CDAN1 NG_012491
CDC14A NG_051602
CDC25B NG_029040
CDC42 NG_047042
CDC45 NG_052958
CDC6 NG_028240
CDC73 NG_012691
CDCA7 NG_047202
CDH1 NG_008021
CDH11 NG_029491
CDH13 NG_052819
CDH15 NG_012055
CDH2 NG_011959
CDH23 NG_008835
CDH3 NG_009096
CDH9 NG_046968
CDHR1 NG_028034
CDK1 NG_029877
CDK11A NG_029414
CDK13 NG_052965
CDK16 NG_012517
CDK2 NG_034014
CDK4 NG_007484
CDK5 NG_042167
CDK5RAP2 NG_008999
CDK6 NG_015888
CDK9 NG_033942
CDKAL1 NG_021195
CDKL3 NG_042179
CDKL5 NG_008475
CDKN1A NG_009364
CDKN1B NG_016341
CDKN1C NG_008022
CDKN2A NG_007485
CDKN2AIP NG_050671
CDKN2B NG_023297
CDKN3 NG_023235
CDON NG_029776
CDR1 NG_016361
CDSN NG_012192
CDT1 NG_028266
CDX1 NG_046970
CDY1 NG_011754
CDY2A NG_032921
CEACAM1 NG_029051
CEACAM16 NG_032692
CEBPA NG_012022
CEBPB NG_029019
CEBPE NG_009617
CEBPZ NG_050962
CECR2 NG_033989
CEL NG_016394
CELF5 NG_052949
CELSR1 NG_030466
CELSR2 NG_052669
CELSR3 NG_034061
CENPE NG_041798
CENPF NG_046787
CENPI NG_012510
CENPJ NG_009165
CEP104 NG_046726
CEP120 NG_042125
CEP135 NG_032806
CEP152 NG_027518
CEP164 NG_033032
CEP170 NG_029663
CEP19 NG_034109
CEP250 NG_051604
CEP290 NG_008417
CEP41 NG_032164
CEP57 NG_029829
CEP63 NG_032870
CEP83 NG_051825
CEP85L NG_021248
CERKL NG_021178
CERS1 NG_033056
CERS3 NG_042826
CES1 NG_012057
CETP NG_008952
CFAP43 NG_051581
CFAP47 NG_016381
CFAP53 NG_042815
CFAP57 NG_028079
CFAP65 NG_051336
CFB NG_008191
CFC1 NG_008148
CFD NG_007274
CFH NG_007259
CFHR1 NG_013060
CFHR2 NG_042816
CFHR3 NG_015993
CFHR4 NG_028159
CFHR5 NG_016365
CFI NG_007569
CFL2 NG_012740
CFLAR NG_029005
CFP NG_009893
CFTR NG_016465
CGNL1 NG_030584
CHAC1 NG_051562
CHAF1B NG_046962
CHAMP1 NG_051829
CHAT NG_011797
CHCHD10 NG_034223
CHCHD2 NG_046734
CHD1L NG_052905
CHD2 NG_012826
CHD4 NG_052823
CHD6 NG_050686
CHD7 NG_007009
CHD8 NG_021249
CHDH NG_028042
CHEK1 NG_030049
CHEK2 NG_008150
CHFR NG_033999
CHGB NG_042285
CHI3L1 NG_013056
CHIC2 NG_028924
CHIT1 NG_012867
CHKB NG_029213
CHM NG_009874
CHMP1A NG_033005
CHMP2B NG_007885
CHMP4B NG_015820
CHN1 NG_012642
CHN2 NG_029365
CHODL NG_029478
CHRD NG_029559
CHRDL1 NG_012816
CHRM2 NG_011846
CHRM3 NG_032046
CHRNA1 NG_008172
CHRNA2 NG_015827
CHRNA3 NG_016143
CHRNA4 NG_011931
CHRNA5 NG_023328
CHRNA7 NG_009216
CHRNB1 NG_008026
CHRNB2 NG_008027
CHRND NG_008028
CHRNE NG_008029
CHRNG NG_012954
CHST1 NG_029811
CHST10 NG_028153
CHST11 NG_029810
CHST12 NG_029854
CHST13 NG_029855
CHST14 NG_017074
CHST15 NG_032891
CHST2 NG_029828
CHST3 NG_012635
CHST4 NG_029801
CHST5 NG_029853
CHST6 NG_016442
CHST7 NG_029799
CHST8 NG_029857
CHST9 NG_029856
CHSY1 NG_031908
CHTOP NG_030030
CHUK NG_028023
CIB2 NG_033006
CIC NG_042060
CIDEC NG_042291
CIITA NG_009628
CILP NG_012214
CISD2 NG_008636
CISH NG_023194
CIT NG_029792
CITED1 NG_015847
CITED2 NG_016169
CIZ1 NG_032983
CKAP2L NG_041820
CKAP5 NG_029924
CLC NG_046978
CLCF1 NG_013377
CLCN1 NG_009815
CLCN2 NG_016422
CLCN3 NG_029731
CLCN4 NG_012496
CLCN5 NG_007159
CLCN6 NG_008766
CLCN7 NG_007567
CLCNKA NG_009359
CLCNKB NG_013079
CLDN1 NG_021418
CLDN10 NG_047100
CLDN14 NG_011777
CLDN16 NG_008149
CLDN19 NG_008993
CLDN2 NG_016445
CLDN3 NG_012023
CLDN4 NG_012868
CLDN8 NG_050758
CLEC10A NG_029878
CLEC12A NG_029426
CLEC16A NG_016757
CLEC4G NG_030321
CLEC4M NG_029190
CLEC7A NG_016291
CLHC1 NG_033063
CLIC2 NG_012497
CLIC5 NG_031965
CLINT1 NG_027820
CLIP1 NG_030352
CLIP2 NG_011830
CLMP NG_042818
CLN3 NG_008654
CLN5 NG_009064
CLN6 NG_008764
CLN8 NG_008656
CLP1 NG_034248
CLPB NG_042130
CLPP NG_033887
CLPTM1L NG_046903
CLRN1 NG_009168
CLTC NG_047043
CLTCL1 NG_033805
CLU NG_027845
CLUAP1 NG_047131
CMIP NG_029839
CNBP NG_011902
CNDP1 NG_033025
CNGA1 NG_009193
CNGA2 NG_016352
CNGA3 NG_009097
CNGB1 NG_016351
CNGB3 NG_016980
CNKSR1 NG_047117
CNKSR2 NG_016266
CNNM1 NG_051577
CNNM2 NG_031932
CNNM4 NG_016608
CNTF NG_008776
CNTFR NG_047044
CNTN1 NG_012058
CNTN2 NG_033845
CNTN4 NG_012827
CNTN5 NG_047156
CNTN6 NG_047144
CNTNAP1 NG_042091
CNTNAP2 NG_007092
CNTROB NG_029754
COA3 NG_046771
COA5 NG_031918
COA6 NG_034250
COASY NG_034110
COBL NG_051816
COCH NG_008211
COG1 NG_008971
COG4 NG_027529
COG5 NG_028095
COG6 NG_028352
COG7 NG_021287
COG8 NG_009013
COL10A1 NG_008032
COL11A1 NG_008033
COL11A2 NG_011589
COL12A1 NG_042181
COL13A1 NG_046344
COL14A1 NG_033107
COL17A1 NG_007069
COL18A1 NG_011903
COL1A1 NG_007400
COL1A2 NG_007405
COL25A1 NG_047204
COL26A1 NG_033785
COL27A1 NG_034260
COL2A1 NG_008072
COL3A1 NG_007404
